,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0,0.0,0.0,0.0,0.0,4.221336841583252
1,1,1.0,0.1428571492433548,0.0,0.0,4.385487079620361
2,2,2.0,0.2857142984867096,0.0,0.0,3.8059868812561035
3,3,3.0,0.4285714328289032,0.0,0.0,3.3637521266937256
4,4,4.0,0.5714285969734192,0.0,0.0,2.164330005645752
5,5,5.0,0.7142857313156128,1.0,1.0,0.014909897930920124
6,6,6.0,0.8571428656578064,1.0,1.0,1.483422238379717e-07
7,7,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
8,8,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
9,9,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
10,10,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
11,11,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
12,12,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
13,13,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
14,14,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
15,15,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
16,16,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
17,17,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
18,18,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
19,19,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
20,0,0.0,0.0,0.0,0.0,4.039405345916748
21,1,0.0,0.0,0.0,0.0,4.039405345916748
22,2,2.0,0.20000000298023224,0.0,0.0,3.6333906650543213
23,3,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
24,4,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
25,5,5.0,0.5,0.0,0.0,3.3131794929504395
26,6,5.0,0.5,0.0,0.0,3.3131794929504395
27,7,7.0,0.699999988079071,1.0,1.0,0.00013865972869098186
28,8,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
29,9,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
30,10,10.0,1.0,1.0,1.0,1.2759756806701716e-08
31,11,10.0,1.0,1.0,1.0,1.2759756806701716e-08
32,12,10.0,1.0,1.0,1.0,1.2759756806701716e-08
33,13,10.0,1.0,1.0,1.0,1.2759756806701716e-08
34,14,10.0,1.0,1.0,1.0,1.2759756806701716e-08
35,15,10.0,1.0,1.0,1.0,1.2759756806701716e-08
36,16,10.0,1.0,1.0,1.0,1.2759756806701716e-08
37,17,10.0,1.0,1.0,1.0,1.2759756806701716e-08
38,18,10.0,1.0,1.0,1.0,1.2759756806701716e-08
39,19,10.0,1.0,1.0,1.0,1.2759756806701716e-08
40,0,0.0,0.0,0.0,0.0,4.230648517608643
41,1,1.0,0.125,0.0,0.0,4.394968509674072
42,2,2.0,0.25,0.0,0.0,4.27078104019165
43,3,3.0,0.375,0.0,0.0,3.37216854095459
44,4,4.0,0.5,0.0,0.0,2.1714372634887695
45,5,5.0,0.625,0.0,0.0,2.1338255405426025
46,6,6.0,0.75,1.0,1.0,0.16810265183448792
47,7,7.0,0.875,1.0,1.0,0.0008803645614534616
48,8,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
49,9,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
50,10,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
51,11,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
52,12,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
53,13,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
54,14,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
55,15,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
56,16,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
57,17,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
58,18,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
59,19,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
60,0,0.0,0.0,0.0,0.0,4.230648517608643
61,1,1.0,0.125,0.0,0.0,4.394968509674072
62,2,2.0,0.25,0.0,0.0,4.27078104019165
63,3,3.0,0.375,0.0,0.0,3.37216854095459
64,4,4.0,0.5,0.0,0.0,2.1714372634887695
65,5,5.0,0.625,0.0,0.0,2.1338255405426025
66,6,6.0,0.75,1.0,1.0,0.16810265183448792
67,7,7.0,0.875,1.0,1.0,0.0008803645614534616
68,8,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
69,9,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
70,10,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
71,11,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
72,12,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
73,13,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
74,14,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
75,15,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
76,16,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
77,17,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
78,18,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
79,19,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
80,0,0.0,0.0,0.0,0.0,4.230648517608643
81,1,1.0,0.125,0.0,0.0,4.394968509674072
82,2,2.0,0.25,0.0,0.0,4.27078104019165
83,3,3.0,0.375,0.0,0.0,3.37216854095459
84,4,4.0,0.5,0.0,0.0,2.1714372634887695
85,5,5.0,0.625,0.0,0.0,2.1338257789611816
86,6,6.0,0.75,1.0,1.0,0.16810087859630585
87,7,7.0,0.875,1.0,1.0,0.0008803645614534616
88,8,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
89,9,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
90,10,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
91,11,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
92,12,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
93,13,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
94,14,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
95,15,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
96,16,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
97,17,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
98,18,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
99,19,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
100,0,0.0,0.0,0.0,0.0,4.039405345916748
101,1,0.0,0.0,0.0,0.0,4.039405345916748
102,2,2.0,0.20000000298023224,0.0,0.0,3.6333906650543213
103,3,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
104,4,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
105,5,5.0,0.5,0.0,0.0,3.3131794929504395
106,6,5.0,0.5,0.0,0.0,3.3131794929504395
107,7,7.0,0.699999988079071,1.0,1.0,0.00013865972869098186
108,8,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
109,9,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
110,10,10.0,1.0,1.0,1.0,1.2759756806701716e-08
111,11,10.0,1.0,1.0,1.0,1.2759756806701716e-08
112,12,10.0,1.0,1.0,1.0,1.2759756806701716e-08
113,13,10.0,1.0,1.0,1.0,1.2759756806701716e-08
114,14,10.0,1.0,1.0,1.0,1.2759756806701716e-08
115,15,10.0,1.0,1.0,1.0,1.2759756806701716e-08
116,16,10.0,1.0,1.0,1.0,1.2759756806701716e-08
117,17,10.0,1.0,1.0,1.0,1.2759756806701716e-08
118,18,10.0,1.0,1.0,1.0,1.2759756806701716e-08
119,19,10.0,1.0,1.0,1.0,1.2759756806701716e-08
120,0,0.0,0.0,0.0,0.0,4.22092866897583
121,1,0.0,0.0,0.0,0.0,4.22092866897583
122,2,2.0,0.3333333432674408,0.0,0.0,3.8055977821350098
123,3,2.0,0.3333333432674408,0.0,0.0,3.8055977821350098
124,4,4.0,0.6666666865348816,0.0,0.0,2.1640191078186035
125,5,4.0,0.6666666865348816,0.0,0.0,2.1640191078186035
126,6,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
127,7,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
128,8,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
129,9,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
130,10,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
131,11,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
132,12,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
133,13,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
134,14,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
135,15,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
136,16,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
137,17,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
138,18,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
139,19,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
140,0,0.0,0.0,0.0,0.0,4.221336841583252
141,1,1.0,0.1428571492433548,0.0,0.0,4.385487079620361
142,2,2.0,0.2857142984867096,0.0,0.0,3.8059868812561035
143,3,3.0,0.4285714328289032,0.0,0.0,3.3637521266937256
144,4,4.0,0.5714285969734192,0.0,0.0,2.164330005645752
145,5,5.0,0.7142857313156128,1.0,1.0,0.014909897930920124
146,6,6.0,0.8571428656578064,1.0,1.0,1.483422238379717e-07
147,7,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
148,8,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
149,9,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
150,10,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
151,11,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
152,12,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
153,13,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
154,14,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
155,15,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
156,16,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
157,17,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
158,18,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
159,19,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
160,0,0.0,0.0,0.0,0.0,4.039262771606445
161,1,1.0,0.09090909361839294,0.0,0.0,4.199736595153809
162,2,2.0,0.1818181872367859,0.0,0.0,3.6332554817199707
163,3,3.0,0.27272728085517883,0.0,0.0,3.5562000274658203
164,4,4.0,0.3636363744735718,0.0,0.0,3.5135951042175293
165,5,5.0,0.4545454680919647,0.0,0.0,3.3130502700805664
166,6,6.0,0.5454545617103577,1.0,1.0,0.5252184271812439
167,7,7.0,0.6363636255264282,1.0,1.0,0.0031026173382997513
168,8,8.0,0.7272727489471436,1.0,1.0,1.3405282516032457e-05
169,9,9.0,0.8181818127632141,1.0,1.0,2.0388280972838402e-05
170,10,9.0,0.8181818127632141,1.0,1.0,2.0388280972838402e-05
171,11,11.0,1.0,1.0,1.0,3.614008203811636e-09
172,12,11.0,1.0,1.0,1.0,3.614008203811636e-09
173,13,11.0,1.0,1.0,1.0,3.614008203811636e-09
174,14,11.0,1.0,1.0,1.0,3.614008203811636e-09
175,15,11.0,1.0,1.0,1.0,3.614008203811636e-09
176,16,11.0,1.0,1.0,1.0,3.614008203811636e-09
177,17,11.0,1.0,1.0,1.0,3.614008203811636e-09
178,18,11.0,1.0,1.0,1.0,3.614008203811636e-09
179,19,11.0,1.0,1.0,1.0,3.614008203811636e-09
180,0,0.0,0.0,0.0,0.0,4.231142520904541
181,1,1.0,0.1111111119389534,0.0,0.0,4.395471096038818
182,2,2.0,0.2222222238779068,0.0,0.0,4.271275997161865
183,3,3.0,0.3333333432674408,0.0,0.0,3.372614622116089
184,4,4.0,0.4444444477558136,0.0,0.0,2.171814203262329
185,5,5.0,0.5555555820465088,1.0,1.0,0.01656872034072876
186,6,6.0,0.6666666865348816,1.0,1.0,0.16828495264053345
187,7,7.0,0.7777777910232544,1.0,1.0,0.0009055049158632755
188,8,8.0,0.8888888955116272,1.0,1.0,2.3474422050639987e-07
189,9,9.0,1.0,1.0,1.0,0.0
190,10,9.0,1.0,1.0,1.0,0.0
191,11,9.0,1.0,1.0,1.0,0.0
192,12,9.0,1.0,1.0,1.0,0.0
193,13,9.0,1.0,1.0,1.0,0.0
194,14,9.0,1.0,1.0,1.0,0.0
195,15,9.0,1.0,1.0,1.0,0.0
196,16,9.0,1.0,1.0,1.0,0.0
197,17,9.0,1.0,1.0,1.0,0.0
198,18,9.0,1.0,1.0,1.0,0.0
199,19,9.0,1.0,1.0,1.0,0.0
200,0,0.0,0.0,0.0,0.0,4.039405345916748
201,1,0.0,0.0,0.0,0.0,4.039405345916748
202,2,2.0,0.20000000298023224,0.0,0.0,3.6333906650543213
203,3,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
204,4,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
205,5,5.0,0.5,0.0,0.0,3.3131794929504395
206,6,5.0,0.5,0.0,0.0,3.3131794929504395
207,7,7.0,0.699999988079071,1.0,1.0,0.00013865972869098186
208,8,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
209,9,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
210,10,10.0,1.0,1.0,1.0,1.2759756806701716e-08
211,11,10.0,1.0,1.0,1.0,1.2759756806701716e-08
212,12,10.0,1.0,1.0,1.0,1.2759756806701716e-08
213,13,10.0,1.0,1.0,1.0,1.2759756806701716e-08
214,14,10.0,1.0,1.0,1.0,1.2759756806701716e-08
215,15,10.0,1.0,1.0,1.0,1.2759756806701716e-08
216,16,10.0,1.0,1.0,1.0,1.2759756806701716e-08
217,17,10.0,1.0,1.0,1.0,1.2759756806701716e-08
218,18,10.0,1.0,1.0,1.0,1.2759756806701716e-08
219,19,10.0,1.0,1.0,1.0,1.2759756806701716e-08
220,0,0.0,0.0,0.0,0.0,4.2311601638793945
221,1,1.0,0.1111111119389534,0.0,0.0,4.39548921585083
222,2,2.0,0.2222222238779068,0.0,0.0,3.815354585647583
223,3,3.0,0.3333333432674408,0.0,0.0,3.3726305961608887
224,4,4.0,0.4444444477558136,0.0,0.0,2.171828031539917
225,5,5.0,0.5555555820465088,0.0,0.0,2.134213924407959
226,6,6.0,0.6666666865348816,0.0,0.0,2.14422869682312
227,7,7.0,0.7777777910232544,1.0,1.0,0.0009064020123332739
228,8,8.0,0.8888888955116272,1.0,1.0,1.4472607290372252e-07
229,9,9.0,1.0,1.0,1.0,2.6360432059391314e-08
230,10,9.0,1.0,1.0,1.0,2.6360432059391314e-08
231,11,9.0,1.0,1.0,1.0,2.6360432059391314e-08
232,12,9.0,1.0,1.0,1.0,2.6360432059391314e-08
233,13,9.0,1.0,1.0,1.0,2.6360432059391314e-08
234,14,9.0,1.0,1.0,1.0,2.6360432059391314e-08
235,15,9.0,1.0,1.0,1.0,2.6360432059391314e-08
236,16,9.0,1.0,1.0,1.0,2.6360432059391314e-08
237,17,9.0,1.0,1.0,1.0,2.6360432059391314e-08
238,18,9.0,1.0,1.0,1.0,2.6360432059391314e-08
239,19,9.0,1.0,1.0,1.0,2.6360432059391314e-08
240,0,0.0,0.0,0.0,0.0,4.2311601638793945
241,1,1.0,0.1111111119389534,0.0,0.0,4.39548921585083
242,2,2.0,0.2222222238779068,0.0,0.0,3.815354585647583
243,3,3.0,0.3333333432674408,0.0,0.0,3.3726305961608887
244,4,4.0,0.4444444477558136,0.0,0.0,2.171828031539917
245,5,5.0,0.5555555820465088,0.0,0.0,2.134214162826538
246,6,6.0,0.6666666865348816,0.0,0.0,2.14422869682312
247,7,7.0,0.7777777910232544,1.0,1.0,0.0009064020123332739
248,8,8.0,0.8888888955116272,1.0,1.0,1.4472607290372252e-07
249,9,9.0,1.0,1.0,1.0,2.6360432059391314e-08
250,10,9.0,1.0,1.0,1.0,2.6360432059391314e-08
251,11,9.0,1.0,1.0,1.0,2.6360432059391314e-08
252,12,9.0,1.0,1.0,1.0,2.6360432059391314e-08
253,13,9.0,1.0,1.0,1.0,2.6360432059391314e-08
254,14,9.0,1.0,1.0,1.0,2.6360432059391314e-08
255,15,9.0,1.0,1.0,1.0,2.6360432059391314e-08
256,16,9.0,1.0,1.0,1.0,2.6360432059391314e-08
257,17,9.0,1.0,1.0,1.0,2.6360432059391314e-08
258,18,9.0,1.0,1.0,1.0,2.6360432059391314e-08
259,19,9.0,1.0,1.0,1.0,2.6360432059391314e-08
260,0,0.0,0.0,0.0,1.0,0.12282498180866241
261,1,0.0,0.0,0.0,1.0,0.12282498180866241
262,2,2.0,0.20000000298023224,0.0,1.0,0.08629590272903442
263,3,3.0,0.30000001192092896,0.0,1.0,0.05121418833732605
264,4,4.0,0.4000000059604645,0.0,1.0,0.00014335988089442253
265,5,4.0,0.4000000059604645,0.0,1.0,0.00014335988089442253
266,6,6.0,0.6000000238418579,0.0,1.0,6.825721357017756e-07
267,7,6.0,0.6000000238418579,0.0,1.0,6.825721357017756e-07
268,8,8.0,0.800000011920929,0.0,1.0,3.525929059833288e-06
269,9,8.0,0.800000011920929,0.0,1.0,3.525929059833288e-06
270,10,10.0,1.0,0.0,1.0,-6.686170284098125e-09
271,11,10.0,1.0,0.0,1.0,-6.686170284098125e-09
272,12,10.0,1.0,0.0,1.0,-6.686170284098125e-09
273,13,10.0,1.0,0.0,1.0,-6.686170284098125e-09
274,14,10.0,1.0,0.0,1.0,-6.686170284098125e-09
275,15,10.0,1.0,0.0,1.0,-6.686170284098125e-09
276,16,10.0,1.0,0.0,1.0,-6.686170284098125e-09
277,17,10.0,1.0,0.0,1.0,-6.686170284098125e-09
